url,keywords
"('http://youtube.com/watch?v=oQpKtm5TtxU',)","('sal|rewrit|r23s32√20r4s5|exponenti|express|radic|express',)"
"('http://youtube.com/watch?v=VWAfEbgf1Po',)","('slope|line|rise|run|learn|calcul|slope|line|graph|find|chang|y|chang|x',)"
"('http://youtube.com/watch?v=VMEV__2wW3E',)","('sal|solv|system|equat|figur|long|coupl|differ|shelv',)"
"('http://youtube.com/watch?v=GEId0GonOZM',)","('solv|limit|00|infintyinfin|lhopist|rule|tool|need',)"
"('http://youtube.com/watch?v=RdYA8ZpqdJE',)","('let|deriv|formula|perceiv|frequenc|sound|chang|sourc|move',)"
"('http://youtube.com/watch?v=dfoXtodyiIA',)","('calcul|mass|oxygen|need|gram|product|form|combust|250|g|glucos',)"
"('http://youtube.com/watch?v=2ZzuZvz33X0',)","('easi|way|think|absolut|valu|distanc|zero|number|line|come|handi|watch|learn',)"
"('http://youtube.com/watch?v=4F6cFLnAAFc',)","('sal|discuss|common|measur|spread',)"
"('http://youtube.com/watch?v=R948Tsyq4vA',)","('sal|introduc|concept|inequ|contain|absolut|valu|express|solv|bunch|exampl',)"
"('http://youtube.com/watch?v=cNlwi6lUCEM',)","('amplitud|period|frequenc|wavelength|period|wave|calcul|wave|veloc',)"
"('http://youtube.com/watch?v=PdSzruR5OeE',)","('introduct|transvers|longitudin|wave',)"
"('http://youtube.com/watch?v=kGrk6V8tWDY',)","('green|theorem|solv|line|integr|vector|field',)"
"('http://youtube.com/watch?v=eQf_EAYGo-k',)","('path|independ|conserv|vector|field|solv|line|integr',)"
"('http://youtube.com/watch?v=frBJEYvyd-8',)","('show|line|integr|close|curv|conserv|vector|field|zero',)"
"('http://youtube.com/watch?v=E4HAYd0QnRc',)","('show|vector|field|gradient|scalar|field|line|integr|path|independ',)"
"('http://youtube.com/watch?v=iI_2Piwn_og',)","('overview|nephron|kidney|filter|blood|reabsorb|water|molecul',)"
"('http://youtube.com/watch?v=tJW_a6JeXD8',)","('line|integr|find|work|vector|field|exampl',)"
"('http://youtube.com/watch?v=c38H6UKt3_I',)","('line|integr|find|work|particl|move|vector|field',)"
"('http://youtube.com/watch?v=gGXnILbrhsM',)","('concret|exampl|line|integr',)"
"('http://youtube.com/watch?v=LpY8Qa3IP1w',)","('introduct|line|integr',)"
"('http://youtube.com/watch?v=I2dbzp0zHuw',)","('overview|inflammatori|respons',)"
"('http://youtube.com/watch?v=K_fgnCJOI8I',)","('review|b|cell|cd4|t|cell|cd8|t|cell',)"
"('http://youtube.com/watch?v=cc8sUv2SuaY',)","('cytotox|t|cell|activ|mhciantigen|complex|proceed|kill|infect|cell',)"
"('http://youtube.com/watch?v=AFF8FXxt5os',)","('introduct|helper|t|cell|role|activ|b|cell',)"
"('http://youtube.com/watch?v=t3cJYNdQLYg',)","('profession|antigen|present|cell|present|part|engulf|pathogen|mhc|ii|complex',)"
